Data,2025-04-16
Competição,BR
Time,Juventude
Local,C
,,
Jogador,Nota por,Nota
Rossi,B10,6
Léo Pereira,B10,8
Alex Sandro,B10,7.5
Pulgar,B10,8.5
Arrascaeta,B10,8.5
Gerson,B10,7.5
Michael,B10,6.5
G. Plata,B10,8
Cebolinha,B10,6
Allan,B10,7
Wesley,B10,7.5
Danilo,B10,8.5
Ayrton Lucas,B10,6.5
Pedro,B10,8.5
Rossi,Simões,6
Léo Pereira,Simões,8
Alex Sandro,Simões,7.5
Pulgar,Simões,8.5
Arrascaeta,Simões,8.5
Gerson,Simões,8
Michael,Simões,6
G. Plata,Simões,8
Cebolinha,Simões,6
Allan,Simões,7
Wesley,Simões,7.5
Danilo,Simões,8.5
Ayrton Lucas,Simões,6.5
Pedro,Simões,8.5